Date,Open,High,Low,Close,Adj Close,Volume
2021-09-09,69.970001,71.099998,69.910004,70.459999,63.124512,14212900
2021-09-10,70.930000,70.989998,69.519997,69.570000,62.327175,15422800
2021-09-13,70.120003,70.660004,69.760002,70.519997,63.178265,16337300
2021-09-14,70.839996,71.379997,68.519997,68.779999,61.619419,26568900
2021-09-15,68.820000,70.870003,68.620003,70.449997,63.115562,22392100
2021-09-16,71.029999,71.180000,69.989998,70.000000,62.712406,19245400
2021-09-17,69.769997,70.580002,69.660004,69.959999,62.676575,30768300
2021-09-20,68.050003,68.169998,65.970001,67.300003,60.293495,36955400
2021-09-21,67.650002,67.739998,66.519997,66.940002,59.970978,21169900
2021-09-22,67.889999,69.169998,67.790001,68.239998,61.135632,21160200
2021-09-23,69.209999,71.389999,69.000000,70.879997,63.500771,21451500
2021-09-24,70.709999,71.580002,70.709999,71.180000,63.769550,15788400
2021-09-27,71.849998,72.610001,71.750000,72.260002,64.737129,19857500
2021-09-28,72.470001,73.279999,71.239998,71.370003,63.939785,20835000
2021-09-29,71.690002,71.820000,70.980003,71.529999,64.083115,13683900
2021-09-30,71.629997,71.699997,69.949997,70.180000,62.873669,22090900
2021-10-01,70.440002,71.680000,70.089996,71.180000,63.769550,23701900
2021-10-04,71.080002,72.980003,70.849998,71.290001,63.868103,18957200
2021-10-05,71.760002,72.930000,71.330002,72.529999,64.979004,15587200
2021-10-06,71.919998,72.610001,71.019997,72.419998,64.880455,15997200
2021-10-07,73.010002,73.349998,72.050003,72.190002,64.674408,15349900
2021-10-08,71.849998,72.809998,71.510002,72.349998,64.817741,11960700
2021-10-11,72.699997,73.720001,71.610001,71.680000,64.217506,14985500
2021-10-12,71.540001,71.940002,70.440002,70.639999,63.285778,17593400
2021-10-13,70.550003,70.580002,68.739998,70.260002,62.945347,23451900
2021-10-14,71.070000,71.269997,69.720001,70.800003,63.429127,24707900
2021-10-15,71.820000,73.220001,71.510002,72.290001,64.763992,21884500
2021-10-18,72.070000,72.550003,71.400002,71.610001,64.154800,15026100
2021-10-19,72.250000,72.500000,71.260002,71.760002,64.289185,15173900
2021-10-20,71.559998,72.279999,70.809998,71.820000,64.342926,14350400
2021-10-21,71.260002,71.830002,70.010002,70.510002,63.169315,18519000
2021-10-22,70.769997,71.889999,70.680000,71.370003,63.939785,14625100
2021-10-25,71.580002,71.849998,70.709999,70.830002,63.455997,15103000
2021-10-26,71.000000,71.610001,70.610001,70.650002,63.294735,18647900
2021-10-27,70.510002,70.709999,69.309998,70.309998,62.990120,25475900
2021-10-28,70.779999,71.320000,70.279999,70.879997,63.500771,16367800
2021-10-29,70.480003,70.610001,68.970001,69.160004,62.408913,22403000
2021-11-01,69.930000,69.930000,69.029999,69.610001,62.814968,19106600
2021-11-02,69.529999,69.629997,68.540001,68.599998,61.903561,25539000
2021-11-03,68.300003,69.580002,68.089996,69.000000,62.264526,21755600
2021-11-04,68.750000,68.769997,66.519997,67.000000,60.459759,32148900
2021-11-05,67.820000,67.989998,66.949997,66.989998,60.450729,20902600
2021-11-08,67.889999,69.019997,67.370003,68.449997,61.768219,25122000
2021-11-09,67.779999,68.250000,67.440002,67.989998,61.353115,18513000
2021-11-10,68.120003,68.440002,67.709999,68.209999,61.551640,19290200
2021-11-11,68.260002,69.180000,68.169998,68.870003,62.147209,20296200
2021-11-12,69.000000,69.169998,68.300003,69.160004,62.408913,13867400
2021-11-15,69.430000,69.669998,68.540001,68.739998,62.029907,12965100
2021-11-16,68.779999,68.779999,67.300003,67.739998,61.127518,19042800
2021-11-17,67.660004,67.690002,66.769997,66.849998,60.324394,16468300
2021-11-18,66.709999,67.150002,66.199997,67.110001,60.559010,14994700
2021-11-19,66.120003,66.419998,65.230003,66.339996,59.864174,19766900
2021-11-22,67.959999,68.110001,66.800003,67.040001,60.495861,24020500
2021-11-23,67.570000,68.370003,67.110001,68.070000,61.425304,18142200
